title,volume,authors,year,pages,link,code
Distributionally Ambiguous Optimization for Batch Bayesian Optimization,Volume 21,"['Nikitas Rontsis', 'Michael A. Osborne', 'Paul J. Goulart']",2020,26,https://www.jmlr.org/papers/volume21/18-211/18-211.pdf,https://github.com/oxfordcontrol/Bayesian-Optimization
The Kalai-Smorodinsky solution for many-objective Bayesian optimization,Volume 21,"['Mickael Binois', 'Victor Picheny', 'Patrick Taillandier', 'Abderrahmane Habbal']",2020,42,https://www.jmlr.org/papers/volume21/18-212/18-212.pdf,https://cran.r-project.org/package=GPGame
Robust Reinforcement Learning with Bayesian Optimisation and Quadrature,Volume 21,"['Supratik Paul', 'Konstantinos Chatzilygeroudis', 'Kamil Ciosek', 'Jean-Baptiste Mouret', 'Michael A. Osborne', 'Shimon Whiteson']",2020,31,https://www.jmlr.org/papers/volume21/18-216/18-216.pdf,
Dual Iterative Hard Thresholding,Volume 21,"['Xiao-Tong Yuan', 'Bo Liu', 'Lezi Wang', 'Qingshan Liu', 'Dimitris N. Metaxas']",2020,50,https://www.jmlr.org/papers/volume21/18-487/18-487.pdf,
Spectral Algorithms for Community Detection in Directed Networks,Volume 21,"['Zhe Wang', 'Yingbin Liang', 'Pengsheng Ji']",2020,45,https://www.jmlr.org/papers/volume21/18-581/18-581.pdf,
Learning from Binary Multiway Data: Probabilistic Tensor Decomposition and its Statistical Optimality,Volume 21,"['Miaoyan Wang', 'Lexin Li']",2020,38,https://www.jmlr.org/papers/volume21/18-766/18-766.pdf,
"Estimate Sequences for Stochastic Composite Optimization: Variance Reduction, Acceleration, and Robustness to Noise",Volume 21,"['Andrei Kulunchakov', 'Julien Mairal']",2020,52,https://www.jmlr.org/papers/volume21/19-073/19-073.pdf,
Asymptotic Consistency of $\alpha$-{R}\'enyi-Approximate Posteriors,Volume 21,"['Prateek Jaiswal', 'Vinayak Rao', 'Harsha Honnappa']",2020,42,https://www.jmlr.org/papers/volume21/19-161/19-161.pdf,
Streamlined Variational Inference with Higher Level Random Effects,Volume 21,"['Tui H. Nolan', 'Marianne Menictas', 'Matt P. Wand']",2020,62,https://www.jmlr.org/papers/volume21/19-222/19-222.pdf,http://matt-wand.utsacademics.info/NolanMenictasWandCode.zip
"Learning Big Gaussian Bayesian Networks: Partition, Estimation and Fusion",Volume 21,"['Jiaying Gu', 'Qing Zhou']",2020,31,https://www.jmlr.org/papers/volume21/19-318/19-318.pdf,
Generating Weighted MAX-2-SAT Instances with Frustrated Loops: an RBM Case Study,Volume 21,"['Yan Ru Pei', 'Haik Manukian', 'Massimiliano Di Ventra']",2020,55,https://www.jmlr.org/papers/volume21/19-368/19-368.pdf,https://github.com/PeaBrane/Ising-Simulation
Generative Adversarial Nets for Robust Scatter Estimation: A Proper Scoring Rule Perspective,Volume 21,"['Chao Gao', 'Yuan Yao', 'Weizhi Zhu']",2020,48,https://www.jmlr.org/papers/volume21/19-462/19-462.pdf,https://github.com/zhuwzh/Robust-GAN-Scatter
apricot: Submodular selection for data summarization in Python,Volume 21,"['Jacob Schreiber', 'Jeffrey Bilmes', 'William Stafford Noble']",2020,6,https://www.jmlr.org/papers/volume21/19-467/19-467.pdf,https://github.com/jmschrei/apricot
Regression with Comparisons: Escaping the Curse of Dimensionality with Ordinal Information,Volume 21,"['Yichong Xu', 'Sivaraman Balakrishnan', 'Aarti Singh', 'Artur Dubrawski']",2020,54,https://www.jmlr.org/papers/volume21/19-505/19-505.pdf,
