person_id,id,name,character,role
27325,tm90549,Walter Sande,Don Brent (Uncredited),ACTOR
53700,tm90549,Delmer Daves,,DIRECTOR
50964,tm67825,Brian Donlevy,Walter Williams,ACTOR
151863,tm67825,Ella Raines,Marsha Peters,ACTOR
31440,tm67825,Charles Coburn,Lieutenant Quincy,ACTOR
543489,tm67825,Helen Walker,Irene Williams,ACTOR
152150,tm67825,Anna May Wong,Su Lin,ACTOR
29629,tm67825,Robert Warwick,Captain Callahan,ACTOR
28502,tm67825,Clarence Kolb,Darcy,ACTOR
132372,tm67825,Art Baker,Defense Attorney,ACTOR
152161,tm67825,William Wright,Prosecutor,ACTOR
41680,tm67825,Mae Marsh,Mrs. King,ACTOR
554451,tm67825,Sheilah Graham,Sheilah Graham,ACTOR
400384,tm67825,Tony Barrett,Jim Torrence,ACTOR
60475,tm67825,Philip Ahn,Ah Sing,ACTOR
546147,tm67825,Glen Vernon,Ed,ACTOR
152224,tm67825,Linda Leighton,Telephone Operator,ACTOR
137509,tm67825,Jason Robards Sr.,Judge,ACTOR
15259,tm67825,Erskine Sanford,Dr. Henry Bender,ACTOR
154514,tm67825,Ruth Robinson,Apartment Manager,ACTOR
638701,tm67825,Lucius Cooke,Burke,ACTOR
90232,tm67825,Tom Greenway,Moving Van Driver,ACTOR
105467,tm67825,Ben Welden,Moving Van Helper,ACTOR
151979,tm67825,Hans Herbert,Station Master,ACTOR
137468,tm67825,Joel Friedkin,Uncle Ben,ACTOR
60487,tm67825,Joe Kirk,Hotel Clerk,ACTOR
129175,tm67825,William Ruhl,Fingerprint Expert,ACTOR
638671,tm67825,Mary Landa,Della,ACTOR
108841,tm67825,Harry Cheshire,Irene's Attorney,ACTOR
134288,tm67825,Arthur Lubin,,DIRECTOR
59175,tm88605,Paul Kelly,Cliff Herlihy,ACTOR
15695,tm88605,DeForest Kelley,Vince Grayson,ACTOR
27196,tm88605,Ann Doran,Lil Herlihy,ACTOR
568427,tm88605,Kay Scott,Betty Winters,ACTOR
137946,tm88605,Charles Victor,Captain Warner,ACTOR
27199,tm88605,Robert Emmett Keane,"Lewis Belknap, aka Harry Byrd",ACTOR
58935,tm88605,Jeff York,Deputy Torrence (as Jeff Yorke),ACTOR
47792,tm88605,Gladys Blake,Bank Clerk (uncredited),ACTOR
39501,tm88605,Julia Faye,Rental Home Owner (uncredited),ACTOR
71889,tm88605,John Harmon,Clyde Bilyou (uncredited),ACTOR
247778,tm88605,Richard Keene,Mr. Kern (uncredited),ACTOR
137516,tm88605,Janet Warren,Mrs. Dorothy Belknap (uncredited),ACTOR
74516,tm88605,Stuart Holmes,Man with Packages in Elevator (uncredited),ACTOR
138170,tm88605,Maxwell Shane,,DIRECTOR
45548,tm131928,Lionel Atwill,Dr. Otto von Niemann,ACTOR
28652,tm131928,Fay Wray,Ruth Bertin,ACTOR
28569,tm131928,Melvyn Douglas,Karl Brettschneider,ACTOR
61638,tm131928,Maude Eburne,Aunt Gussie Schnappmann,ACTOR
53453,tm131928,George E. Stone,Kringen,ACTOR
21997,tm131928,Dwight Frye,Herman Gleib,ACTOR
138410,tm131928,Robert Frazer,Emil,ACTOR
155411,tm131928,Rita Carlyle,Martha,ACTOR
21998,tm131928,Lionel Belmore,Bürgermeister Gustave Schoen,ACTOR
134172,tm131928,William V. Mong,Sauer,ACTOR
578918,tm131928,Stella Adams,Georgiana,ACTOR
134051,tm131928,Harrison Greene,Weingarten,ACTOR
152323,tm131928,Frank R. Strayer,,DIRECTOR
45690,tm82159,Bela Lugosi,Prof. Frederick Brenner,ACTOR
62827,tm82159,John Archer,Richard Dennison,ACTOR
58339,tm82159,Wanda McKay,Judy Malvern,ACTOR
129611,tm82159,Tom Neal,Frankie Mills,ACTOR
190733,tm82159,Vince Barnett,Charley,ACTOR
556213,tm82159,Anna Hope,Mrs. Brenner,ACTOR
37833,tm82159,John Berkes,Fingers Dolan,ACTOR
58854,tm82159,J. Farrell MacDonald,Capt. Mitchell,ACTOR
132381,tm82159,Dave O'Brien,Pete Crawford,ACTOR
570549,tm82159,Lucille Vance,Mrs. Malvern,ACTOR
134186,tm82159,Lew Kelly,Doc Brooks,ACTOR
133998,tm82159,Wheeler Oakman,"""Trigger"" Stratton",ACTOR
570611,tm82159,Ray Miller,Big Man,ACTOR
564877,tm82159,Pat Costello,Tramp questioned by Richard,ACTOR
133964,tm82159,George Eldredge,Det. Thompson,ACTOR
90197,tm82159,Bernard Gorcey,Shopkeeper,ACTOR
55432,tm82159,Eddie Hall,Tramp playing checkers at 'Friendly Mission',ACTOR
27280,tm82159,Eddie Kane,The Mayor,ACTOR
49082,tm82159,Ralph Littlefield,A Friendly Mission tramp,ACTOR
57856,tm82159,'Snub' Pollard,Motorist,ACTOR
28912,tm82159,Bob Reeves,Henchman,ACTOR
153743,tm82159,Bobby Stone,Newsboy,ACTOR
151924,tm82159,Wallace Fox,,DIRECTOR
45690,tm89501,Bela Lugosi,Prof Leonide,ACTOR
72429,tm89501,George Zucco,Dr. Josef Van Ee,ACTOR
53499,tm89501,Nat Pendleton,Bill 'Bull' Raymond,ACTOR
63064,tm89501,Molly Lamont,Laura Van Ee,ACTOR
63065,tm89501,Joyce Compton,Jane Cornell,ACTOR
47792,tm89501,Gladys Blake,Lilly Beth,ACTOR
74257,tm89501,Roland Varno,Ward Van Ee,ACTOR
78956,tm89501,Angelo Rossitto,Indigo,ACTOR
14164,tm89501,Douglas Fowley,Terry Lee,ACTOR
27206,tm89501,Stanley Andrews,Pathologist,ACTOR
565955,tm89501,Lee Bennett,Rene the Killer,ACTOR
96356,tm89501,Stanley Price,Autopsy Surgeon,ACTOR
102721,tm89501,Christy Cabanne,,DIRECTOR
35552,tm4919,J. Carrol Naish,Dr. Igor Markoff,ACTOR
102700,tm4919,Ralph Morgan,Anthony Lawrence,ACTOR
151843,tm4919,Tala Birell,Maxine,ACTOR
58339,tm4919,Wanda McKay,Patricia Lawrence,ACTOR
457704,tm4919,Terry Frost,Bob Blake,ACTOR
33404,tm4919,Glenn Strange,Giant,ACTOR
14767,tm4919,Alexander Pollard,Butler,ACTOR
137455,tm4919,Sam Flint,Dr. Adams,ACTOR
124433,tm4919,Sam Newfield,,DIRECTOR
14703,tm4401,Paul Henreid,John Muller / Dr. Bartok,ACTOR
56295,tm4401,Joan Bennett,Evelyn Hahn,ACTOR
